,zipcode,city,quarter,region,learn_more,population_density,retail_sparsity,potential
200,56070,Koblenz,Koblenz-Neuendorf,Rheinland-Pfalz,/wiki/Koblenz-Neuendorf,0.217590836509559,1.0,0.6350131744065108
201,60528,Frankfurt am Main,Frankfurt am Main-Niederrad,Hessen,/wiki/Frankfurt-Niederrad,0.2300152458121376,0.9838629111415652,0.6328999335230175
202,99086,Erfurt,Erfurt-Ilversgehofen,Thueringen,/wiki/Ilversgehofen,0.2290914165416853,0.9845427216379514,0.6327610391094441
203,81247,München,München-Obermenzing,Bayern,/wiki/Pasing-Obermenzing,0.2414964204587519,0.9717647047603832,0.632548721771967
204,81241,München,München-Pasing,Bayern,/wiki/Pasing-Obermenzing,0.2414964204587519,0.9717647047603832,0.632548721771967
205,60489,Frankfurt am Main,Frankfurt am Main-Rödelheim,Hessen,/wiki/Frankfurt-R%C3%B6delheim,0.2151980914699545,0.9969704617849616,0.6319268346125152
206,13437,Berlin,Berlin-Wittenau,Berlin,/wiki/Berlin-Wittenau,0.2182881590041663,0.9928215352246045,0.6313241367092242
207,56073,Koblenz,Koblenz-Goldgrube,Rheinland-Pfalz,/wiki/Koblenz-Goldgrube,0.2236411494906502,0.9870480301032204,0.631084781627481
208,22159,Hamburg,Hamburg-Farmsen-Berne,Hamburg,/wiki/Hamburg-Farmsen-Berne,0.2224941836265928,0.9880935504737731,0.6310270392984986
209,85521,Ottobrunn,,Bayern,/wiki/Ottobrunn,0.2179182089809218,0.9919019230009624,0.6305901235467816
210,22117,Hamburg,Hamburg-Billstedt,Hamburg,/wiki/Hamburg-Billstedt,0.2182967413212133,0.9907563017339123,0.6301534999015374
211,47249,Duisburg,Duisburg-Buchholz,Nordrhein-Westfalen,/wiki/Buchholz_(Duisburg),0.2157600340566338,0.9919786092634623,0.629405349350021
212,45355,Essen/Ruhr,Essen/Ruhr-Borbeck-Mitte,Nordrhein-Westfalen,/wiki/Borbeck-Mitte,0.2236817638575417,0.9822976208569607,0.6284039870848307
213,86163,Augsburg,Augsburg-Hochzoll,Bayern,/wiki/Augsburg-Hochzoll,0.2080241745412457,0.9972257412849944,0.6279887766001336
214,22523,Hamburg,Hamburg-Eidelstedt,Hamburg,/wiki/Hamburg-Eidelstedt,0.2050914475586725,1.0,0.6278985771588077
215,12437,Berlin,Berlin-Baumschulenweg,Berlin,/wiki/Berlin-Baumschulenweg,0.2041707445954773,1.0,0.62737451707926
216,44147,Dortmund,Dortmund-Hafen,Nordrhein-Westfalen,/wiki/Hafen_Dortmund,0.2066180263738055,0.996944232041231,0.627028169420055
217,24114,Kiel,Kiel-Südfriedhof,Schleswig-Holstein,/wiki/Kiel-S%C3%BCdfriedhof,0.2432178574125668,0.9601696469281616,0.6269287001691195
218,86153,Augsburg,Augsburg-Am Schäfflerbach,Bayern,/wiki/Augsburg-Innenstadt,0.3325117391740643,0.8698548747950736,0.6263476138571035
219,86152,Augsburg,Augsburg-Georgs- und Kreuzviertel,Bayern,/wiki/Augsburg-Innenstadt,0.3325117391740643,0.8698548747950736,0.6263476138571035
220,99099,Erfurt,Erfurt-Daberstedt,Thueringen,/wiki/Daberstedt,0.206378463752382,0.9959663863943405,0.6263352259850511
221,13595,Berlin,Berlin-Wilhelmstadt,Berlin,/wiki/Berlin-Wilhelmstadt,0.2022189848069421,1.0,0.6262635839869101
222,33611,Bielefeld,Bielefeld-Schildesche,Nordrhein-Westfalen,/wiki/Schildesche,0.2023620366834058,0.9987107170898887,0.6256111543210069
223,81929,München,München-Bogenhausen,Bayern,/wiki/Bogenhausen_(Stadtbezirk),0.2022209013454785,0.997022849395837,0.6245700938348913
224,09116,Chemnitz,Chemnitz-Kappel,Sachsen,/wiki/Chemnitz-Kappel,0.1986609108855291,1.0,0.6242383439509471
225,47179,Duisburg,Duisburg-Aldenrade,Nordrhein-Westfalen,/wiki/Aldenrade,0.1982038769633377,1.0,0.6239782022514043
226,12524,Berlin,Berlin-Altglienicke,Berlin,/wiki/Berlin-Altglienicke,0.1953663971064997,1.0,0.6223631211895064
227,76131,Karlsruhe,Karlsruhe-Innenstadt-Ost,Baden Württemberg,/wiki/Innenstadt-Ost_(Karlsruhe),0.2128084880104903,0.9823661656807074,0.6222539816803567
228,28239,Bremen,Bremen-Gröpelingen,Bremen,/wiki/Gr%C3%B6pelingen,0.1978221593786736,0.9971161991437507,0.6221194835089655
229,09113,Chemnitz,Chemnitz-Schloßchemnitz,Sachsen,/wiki/Chemnitz-Schlo%C3%9Fchemnitz,0.2024013425394634,0.9919096575465727,0.6217623938446316
230,22605,Hamburg,Hamburg-Othmarschen,Hamburg,/wiki/Hamburg-Gro%C3%9F_Flottbek,0.2411494246900286,0.9529411764705883,0.6216369437450832
231,22607,Hamburg,Hamburg-Groß Flottbek,Hamburg,/wiki/Hamburg-Gro%C3%9F_Flottbek,0.2411494246900286,0.9529411764705883,0.6216369437450832
232,34132,Kassel,Kassel-Oberzwehren,Hessen,/wiki/Oberzwehren,0.195916926130719,0.9958840678294344,0.6203337093909281
233,55131,Mainz,Mainz-Oberstadt,Rheinland-Pfalz,/wiki/Mainz-Oberstadt,0.192874894093965,0.997594129593322,0.6195755577665094
234,80538,München,München-Altstadt,Bayern,/wiki/Altstadt-Lehel,0.3493802959429106,0.8386554606583845,0.6181905528369928
235,01187,Dresden,Dresden-Plauen,Sachsen,/wiki/Plauen_(Stadtbezirk),0.1893784967884889,0.9982118242363629,0.6179370128648672
236,60311,Frankfurt am Main,Frankfurt am Main-Altstadt,Hessen,/wiki/Frankfurt-Altstadt,0.4380887803090594,0.7488955869397143,0.617592106639094
237,12355,Berlin,Berlin-Rudow,Berlin,/wiki/Berlin-Rudow,0.1881675829982188,0.9976071784082015,0.6169036043106501
238,70180,Stuttgart,Stuttgart-Weinsteige,Baden Württemberg,/wiki/Weinsteige,0.1836880708642649,1.0,0.6157158692264504
239,47055,Duisburg,Duisburg-Wanheimerort,Nordrhein-Westfalen,/wiki/Wanheimerort,0.1884092811282268,0.9943416239409387,0.6151824385753478
240,46119,Oberhausen,Oberhausen-Rothebusch,Nordrhein-Westfalen,/wiki/Osterfeld_(Oberhausen),0.1841576048246717,0.9960675077939394,0.6137447686150328
241,50737,Köln,Köln-Weidenpesch,Nordrhein-Westfalen,/wiki/Weidenpesch,0.1865202011511328,0.992780543302678,0.6132186223188423
242,12277,Berlin,Berlin-Marienfelde,Berlin,/wiki/Berlin-Marienfelde,0.183685303439222,0.9953712628824976,0.6130796371993814
243,12459,Berlin,Berlin-Oberschöneweide,Berlin,/wiki/Berlin-Obersch%C3%B6neweide,0.1992206875525683,0.9794403184291944,0.6128544859926293
244,68165,Mannheim,Mannheim-Schwetzingerstadt,Baden Württemberg,/wiki/Schwetzingerstadt/Oststadt,0.264409048711465,0.9135654197451933,0.6124637118511296
245,09122,Chemnitz,Chemnitz-Morgenleite,Sachsen,/wiki/Chemnitz-Morgenleite,0.1895762535981454,0.9880358913158044,0.6122574788832732
246,22143,Hamburg,Hamburg-Rahlstedt,Hamburg,/wiki/Hamburg-Rahlstedt,0.1803056937485054,0.9968155682517261,0.6119780704865423
247,28195,Bremen,Bremen-Mitte,Bremen,/wiki/Mitte_(Bremen),0.2938090309990947,0.8821710979611836,0.6113285425762409
248,09120,Chemnitz,Chemnitz-Helbersdorf,Sachsen,/wiki/Chemnitz-Helbersdorf,0.1838681792296175,0.991932772788681,0.6112265558484679
249,30455,Hannover,Hannover-Badenstedt,Niedersachsen,/wiki/Ahlem-Badenstedt-Davenstedt,0.1804755779898652,0.994266945351041,0.6106241028977953
250,45359,Essen/Ruhr,Essen/Ruhr-Bedingrade,Nordrhein-Westfalen,/wiki/Bedingrade,0.2127362921672572,0.9614535227354224,0.6103095036842787
251,45357,Essen/Ruhr,Essen/Ruhr-Gerschede,Nordrhein-Westfalen,/wiki/Bedingrade,0.2127362921672572,0.9614535227354224,0.6103095036842787
252,04329,Leipzig,Leipzig-Paunsdorf,Sachsen,/wiki/Paunsdorf,0.2033594824043776,0.9693094622528118,0.6094438310257835
253,39124,Magdeburg,Magdeburg-Neue Neustadt,Sachsen-Anhalt,/wiki/Neue_Neustadt,0.1755766165329624,0.9968891525437453,0.6093281843784655
254,86154,Augsburg,Augsburg-Oberhausen,Bayern,/wiki/Augsburg-Oberhausen,0.1839307029244105,0.9882432943951458,0.609162109176826
255,38106,Braunschweig,Braunschweig-Nordstadt,Niedersachsen,/wiki/Nordstadt_(Braunschweig),0.1742651011907888,0.9978641985877991,0.6091366675329823
256,22419,Hamburg,Hamburg-Langenhorn,Hamburg,/wiki/Hamburg-Langenhorn,0.1741492781936409,0.9969309462120254,0.6085395384421006
257,47279,Duisburg,Duisburg-Bissingheim,Nordrhein-Westfalen,/wiki/Bissingheim,0.1691289905037754,1.0,0.6074289046821171
258,55130,Mainz,Mainz-Weisenau,Rheinland-Pfalz,/wiki/Mainz-Weisenau,0.172346545082782,0.9965193178476663,0.6072791336240003
259,12489,Berlin,Berlin-Adlershof,Berlin,/wiki/Berlin-Adlershof,0.1722694696408922,0.9953788388506342,0.6065861069893288
